"Caller_ID","Test_Group","Outcome","State_Available","Email_Available"
"68359340ZFZYECVJ",1,0,0,0
"83119994SISMLSRO",0,0,0,0
"58448995NDCOTARU",0,0,0,0
"84112006ELLKIDBK",1,0,0,0
"10840705OUMWVGBO",0,0,0,0
"65443966UFFCGEYN",1,0,0,0
"32925665LXCXFJYF",1,0,0,0
"68567175CBGRRTBX",1,0,1,0
"76952883ZBVRXEZR",0,0,0,0
"52400767QHEQTZRF",1,0,1,0
"34965442WMTBCCBF",0,0,1,0
"25914261GWMOAPRF",1,0,0,0
"98215177WULKKMNU",0,0,0,0
"03241649AHZKPWYH",1,1,1,0
"96667825EPUJRIRO",0,0,0,0
"15852908CRZGSWMC",1,0,1,0
"36994780TUIMUGOG",1,0,0,0
"56735219WLNASIKD",0,0,0,0
"78790913BINVBIAN",0,0,0,0
"17079910NEIJQHGE",0,0,0,0
"08661294PIECLXMX",1,0,1,0
"11793738LLJVNMOO",1,0,1,0
"37817200GPMMBJSA",0,0,0,0
"87850069KOMVMYSS",0,0,0,0
"31860166FYWKCQCI",0,0,0,0
"42286744VFDAAFRA",1,0,1,0
"12304253WHMYSBJI",0,0,1,0
"27995245USCYNWOO",1,0,1,0
"82914021DOHMVCHU",1,0,1,0
"33945115STZFWARC",1,0,1,1
"96034638VGIATDMB",0,0,0,1
"39877760CFBLIUCR",1,0,1,0
"07582565CZAVPCKQ",1,0,0,0
"38320739EENLTMQW",0,0,0,0
"29250332RKSSQHSV",0,0,1,0
"70527400NBBHYGSD",1,0,0,0
"46060410KFLTKYYG",1,0,0,0
"91491754VNZLPGPH",0,0,1,1
"40913455KJPHNCDZ",0,0,0,1
"87979247QMSVHGBD",0,0,0,0
"29290742PINPQLPL",0,0,1,0
"69093417IFPKTXVO",1,0,0,0
"44641913NYHQBJOK",0,0,1,1
"69352986HWYJOFSJ",1,0,0,0
"61807618NTHZSSGO",0,0,0,0
"58253057OKPMGXPQ",0,0,0,0
"30890089ZOHMNAOW",0,0,0,0
"58974812FHNKZLUF",1,0,1,0
"63339804ZCDFZKPA",1,0,0,0
"58275674DTTNNIMP",0,0,0,0
"33687560TAUFKVYA",1,0,0,0
"96196891KWECJWMX",1,0,1,0
"53522550ITWUAEWT",0,0,1,0
"13286306AGFEHIHW",1,0,1,1
"81665483LHPFEXLP",0,0,0,0
"85439873EHVBGNGU",0,0,1,1
"31413886MDSVBVVP",1,0,0,0
"56248429LWKDJRPW",1,0,1,0
"38330204IHOHPMCY",1,0,1,0
"05711412DYHDBJKG",0,0,1,1
"87345964HCXWXCGG",1,0,0,0
"95332114FMUECJSW",0,0,0,0
"91367911LTDLBNWJ",0,0,0,0
"20399711TBNOYTER",1,0,1,0
"85649601QKALIKQH",0,0,0,0
"49399694RAPQPKQP",0,0,0,0
"42779980DGHHDGKN",1,0,0,1
"47726645TVXEANVQ",0,0,0,0
"16986681BJRPQAJX",1,0,1,0
"62603649XPRDQALO",0,0,1,0
"37489029TXTBMVJL",1,0,1,0
"42857305ZOLZXSZT",1,0,0,0
"82434745ZJGJYTEF",0,0,0,0
"49528024PCICVCPL",0,0,0,0
"21471920RSRXCZBL",0,0,1,0
"70800082EHHTYUYA",1,0,0,0
"95455852LTMXXODM",1,0,1,1
"43498688KKDKWSZK",0,0,1,0
"85853681OXSHKLQF",1,0,0,0
"32489835PDRMEFRE",0,0,0,0
"95680380PSXYQUNA",1,0,1,0
"81182678VUETALBO",1,0,0,0
"06099256VPWJRWFD",1,0,1,1
"44224098HLKRVWRS",0,0,0,0
"21132747WHBTARMU",0,0,0,0
"27774163YNIBXHTR",1,0,1,0
"08932600NHDIQWYB",0,0,0,0
"18273495GPRWPWAK",0,0,0,0
"49513697YVISWSPD",0,0,0,0
"73162888KLIPQBLV",0,0,0,0
"67153805MELQTWOU",0,0,1,0
"64902456ZDPUPKDN",0,0,0,0
"55132456SXGESBLL",0,0,0,0
"50707104RPRTNONP",1,0,1,1
"07260235UDKMMPIW",1,0,1,0
"99136951HPZUNLZO",1,0,1,0
"54617143WVOGUDNF",0,0,0,0
"76433980LPOHRZIV",0,0,0,0
"71033300DLLXXKPY",1,0,0,0
"31411668OZHNREIE",0,0,1,0
"94027942UWNSDNUB",1,0,1,0
"44958535IYMTFYJI",0,0,1,0
"51474754NRFMTRQK",0,0,0,0
"73665774HMDEVHQQ",1,0,0,0
"41108473VHLUJCXQ",0,0,0,0
"52275579QMOJBBEY",0,0,1,0
"04203839VUKLAQOS",0,0,0,0
"40329210RMBGCEIE",0,0,1,0
"17624072NQECDZHA",1,0,0,0
"64861741VMCMGOGO",0,0,0,0
"99264437UDIXWXIX",1,0,0,0
"74077477EAUMVYNR",0,0,1,0
"30011171MQEGYQSI",0,0,1,0
"32470737XORZHUCE",0,0,1,0
"45996122KDJQALSZ",1,0,0,0
"20852350KSIGGAKG",1,0,0,0
"03692580SPNYDEWG",0,0,0,0
"94031884JOOKIHTC",0,0,0,0
"86506709TBYMGXTQ",0,0,0,0
"18309717JOQUOWHD",0,0,0,0
"07288316TFGYXRKQ",0,0,1,0
"97914422AUVDUMDA",1,0,0,0
"06718242GJKGAZIQ",0,0,0,0
"60518265UEUPODHX",0,0,0,0
"77551324NXLJJKBB",1,0,1,0
"33959188AECGOCMG",0,0,0,0
"16936119VSNYRJPU",0,0,0,0
"46534948RPXHUKVN",0,0,1,1
"43878564KSGZSOTZ",0,0,0,0
"14037631WFZNLBTP",1,0,1,0
"35404407PESHOIQA",0,0,0,0
"06360765MOGWMCTS",1,0,1,0
"25122225XLFEHJLM",0,0,1,0
"95353915HATUHNNK",1,0,1,0
"36878275PZVQABCZ",1,0,0,1
"49032761BPTOKFCG",0,0,1,0
"95364843SXTRCUKO",1,0,1,1
"10910833WJQTGTDC",1,0,0,0
"48360847GDASCQHD",0,0,0,0
"64973470DHSISTGE",1,0,0,0
"80130128GORKSYCJ",1,0,0,0
"34320817MVPJETWC",1,0,0,0
"07690150BULYGOLS",1,0,0,0
"71267748OFVXXIJO",1,0,1,0
"92101850NZESMOIA",1,0,0,0
"62485221UIVDLWUB",0,0,1,0
"31910952RQJAFAEC",1,0,0,0
"06154145VMCYLXUM",1,0,0,0
"32378958XREDDIGZ",1,0,1,0
"38136637NLTHMLKE",0,0,0,0
"34556842BWQHEASA",1,0,0,0
"42709462FYUXWHKN",1,0,1,0
"70438443CDRCQYMZ",1,0,0,1
"74915549NUNPWJYF",0,0,0,0
"57329005AHZILIFG",0,0,1,0
"41695096DONVBPLI",0,0,0,0
"73776319DSKZRLIQ",1,0,1,0
"97562652QPFALUHW",1,0,0,0
"54381611DAVOGUDQ",0,0,0,0
"85461042UZLXGUOY",1,0,0,0
"38168032GMEEKCQQ",1,0,0,0
"60763863JEUEDAJZ",1,0,0,0
"42988027ZXCKXUAU",1,0,1,0
"27903814KHJBRONW",0,0,1,0
"91597994DAIEUWFK",0,0,0,0
"97052326CEEANCXS",1,0,1,0
"88156644HZXOHNVB",0,0,0,0
"21458016MSHUEDNL",0,0,0,0
"57987355QSCPDBOB",1,0,1,1
"52002771KJFADSVQ",1,0,0,0
"95930883IBKLLZKQ",0,0,0,0
"71451519EGCJTXDJ",1,0,0,0
"54328675RBUQQPHN",0,0,1,0
"71852683SBEPUPCV",0,0,0,0
"46577376DTRTXPUT",1,0,0,1
"84390644YKTKXNXO",0,0,1,1
"07130048MFHCDPYS",1,0,0,0
"17440264SAGBYZSR",0,0,0,0
"73526291DRIUCJZH",0,0,0,0
"83559451LHCUAFYT",1,1,0,0
"18086538MZFGFFTH",1,1,1,0
"67263455BSQENKJP",0,0,0,0
"45765101ZFNNNPJU",0,0,1,0
"56847278FFISURHJ",1,0,0,0
"14330064YUGZUEEZ",0,0,0,0
"38297698NQJIEDHS",1,1,0,0
"92698476DJPPYUNF",1,0,0,1
"59285606DROXIGGM",1,0,0,0
"23915292XZKICOXA",1,0,0,0
"63929822SIBPACCI",1,0,0,0
"96120516DLLITONT",0,0,0,0
"12899781NXZCRJAF",1,0,1,0
"80827706WHBDSDOV",0,0,0,0
"73932335SVIHIFHI",0,0,0,0
"36854393GIZMEDRD",1,1,1,1
"09205528GMKRJUXM",0,0,0,0
"70629670ZTWHNBAI",0,0,1,0
"07859326RUQGTKEE",1,0,1,0
"39140961CNQALVDJ",1,0,1,0
"67697231NKTKDYUH",1,0,1,1
"95348294QRKDOIHF",0,0,1,0
"05334034DMHRGBJP",1,1,1,0
"44395993LNANGHPR",0,0,1,0
"47939047BMYCVSXG",1,0,0,0
"33161752HYDENQKM",1,0,1,0
"41044328AYGDJPBB",0,0,0,0
"11175821TBBSKVRJ",0,0,0,0
"76783404ULTRAKJX",0,0,0,0
"26411267WLFAXDQY",0,0,0,0
"72535168IUDJYABX",1,1,0,0
"66920459SKBDLSWS",1,0,0,0
"41303547VBSTKYWD",1,0,1,0
"39573156XPXIVAUF",1,0,0,0
"98987746CSFZNFJM",1,0,0,0
"52402248CKLFBJVO",1,0,1,0
"86698274GKNWPRPI",0,0,1,1
"39136683LIZHMAOJ",0,0,0,0
"56830853FYNDXDLY",1,0,0,0
"97651832YIDOKIYU",0,0,1,0
"61742879WAQYXNTI",0,0,0,0
"18865788NQVPXSYY",1,0,1,0
"13385712CQQKVCVG",1,0,1,0
"18180904HIEEDXCY",0,0,1,1
"32597460SCPZKXYI",1,1,0,0
"35946450AVEHMJGD",0,0,0,0
"13325639NHLALYBU",1,0,0,0
"14579944CSGACKPQ",0,0,0,0
"81818586IXLVZWYZ",1,0,0,0
"32129416NEIGYBDK",0,0,1,0
"67176342OAUWWCTD",0,0,0,0
"69883309NANDEDMB",0,0,0,0
"73968156TOQFCBJI",0,0,1,0
"81144883WQVCMZQW",1,0,1,1
"18562663NPYGKTCB",1,0,0,0
"96648969PKYEIMEV",1,0,1,0
"33686702QFWUIDMM",0,0,0,0
"46447545YYJWUWQP",1,0,0,0
"71115017KEZGWOWA",0,0,0,0
"68337778OYBSBHAD",1,0,0,0
"94439177ZKKUKHJU",1,0,1,0
"22867023WHEWFDFA",0,0,1,0
"31168580CGUQKFEK",1,0,1,0
"82747267RPCJLKFB",0,0,0,0
"81045571QUPJZQWO",1,0,1,0
"30978917BFLGFACS",0,0,1,0
"08962996JBRWQGUQ",0,0,1,0
"52984856TCSEOMMR",0,0,0,0
"38744581JHESDNLT",1,0,1,1
"34664528HHFTNNIP",1,0,1,0
"15697621TJXXUBEO",0,0,0,0
"60640503XMBAYMMD",1,0,1,1
"24634736SUAQSEBT",0,0,0,1
"39976421DDHSDOJN",1,0,0,0
"67613359AODKKERZ",0,0,0,0
"30887719SUQFGWUE",0,0,1,0
"42333617YKJWXPNP",0,0,0,0
"67321519TXHGVLCH",0,0,1,1
"21767220VXMDWTTD",1,0,0,0
"06128867CLETARSW",1,0,1,0
"56895604BZVXIOOY",1,1,0,0
"13592043WFEDNQHH",0,0,0,0
"99131886JEWYGEJQ",0,1,1,0
"39538292JFXECCDS",0,0,0,0
"16417705LESIZZYS",0,0,1,0
"49897386TOOVUVUI",1,0,0,0
"77002376SJXVKHIR",0,0,0,0
"52795237KVLZHHKY",0,0,0,0
"42006263VISXXNVD",1,0,1,0
"14688091DDLTVFMS",0,0,1,0
"13964839YUBQEIQR",1,0,1,0
"42460451LUYVVNLJ",1,0,0,0
"42986124RLGUZOYZ",1,0,0,0
"46638308HFCWSEAV",0,0,1,0
"54842096GDXMGMZJ",1,0,1,0
"60625223SKTGKOAD",1,0,0,0
"07861938PFTITXNL",0,0,0,0
"42863694OLLEVPVN",1,0,0,0
"85909860FYBKCREK",0,0,1,0
"39652385ABJOPIWK",0,0,0,0
"02912930ZKPHNCFE",0,0,1,0
"12683030CCOIMRII",1,0,1,0
"82656947ZNDTYAJQ",1,0,0,0
"49743028QJBMFFQT",1,0,0,0
"69805255BSWMKGPX",0,0,0,0
"92058278SHXATKLG",1,0,0,0
"52720738QYXENZYN",1,0,1,0
"77074028HDABUOWJ",1,0,1,0
"06620882IRYSDOFZ",0,0,0,0
"21175315WEOOMQBZ",0,0,1,0
"79441430TXFRLNHF",1,0,0,0
"50760643USDHREZM",0,0,1,0
"05778288DAGGNVZB",0,0,1,0
"60781856ZKXPMVAT",1,0,1,0
"07599935UPLATIGH",0,0,0,0
"17825582YVADUFWK",1,0,0,0
"23324056TBTYGZDO",1,0,1,1
"24473750PYWWDNHT",0,0,1,0
"74544260HHUUMRFC",1,0,1,0
"40201009NQXCKREP",0,0,0,0
"26694082KLLWJQTW",1,1,0,0
"34087151VPECHNKU",1,0,0,0
"16706959TLEVLREA",1,0,1,0
"58441547TLNXICFV",0,0,1,0
"96280381LNGQIJXV",1,0,1,1
"00538246ISKOJQSO",0,0,0,0
"30796839YRFDNQMX",1,1,1,0
"23825856ICCHYQXX",1,0,1,0
"56696742QWHFZOTU",0,0,0,0
"27971775QEYVDEQN",1,0,0,0
"10144596ZVYMHJCD",1,0,1,1
"18941726YBYEWYPJ",0,0,1,1
"12735352AZTUHXTW",1,1,0,0
"03982905BUTDGBSE",1,0,0,0
"50563396RUXKXZIQ",0,0,1,0
"29520620YZVJLBUD",0,0,0,0
"00945460AJZQVZFD",1,0,1,0
"95553154CCNNHKFM",1,0,1,0
"94827694VVRRDIMM",0,0,1,0
"02681589LRTYWKET",0,0,1,1
"81997214OOEKQCCZ",1,1,1,0
"64127952VBEWJOGI",0,0,1,0
"59663493LLOQSUGD",0,0,1,1
"32042972IWACFUWM",0,0,1,1
"28579236PBRMFASI",1,0,1,1
"44067383SKHUJPZC",1,0,0,0
"08087231NBSSMASJ",1,0,1,0
"49052782GGHADGBK",1,0,1,0
"60598708YRFRSHFP",0,0,1,1
"39116235DZOFTXNB",0,0,1,0
"12683965JDNLXXNW",1,0,0,0
"12045539YPNMBXYJ",1,0,1,0
"72832528GXCAHKJI",1,0,1,0
"44932375HYQLYFKX",1,0,0,0
"06932578IGOUMXKA",1,0,0,0
"19502562HVNNBLSQ",0,0,0,0
"64293406BHFATPIQ",0,0,1,0
"25194402ZVOMZJPD",1,0,1,1
"86994578PPVBFCPO",0,0,1,0
"54864505UYMFEGBO",1,0,0,0
"60325690APAKKRYI",1,0,1,0
"79348118BCKHXMQG",1,0,0,0
"89375954CKYECNEB",1,0,0,0
"24615019AURLHDCI",0,0,0,0
"75519167YOAIUTEU",0,0,1,1
"87832242ATCLBNIV",1,0,0,0
"17756748BUNLGZGW",0,0,0,0
"23131887NOSMDFET",0,0,0,0
"71378823IAUKRCDJ",0,0,0,0
"18085862KOBMYNVZ",1,0,1,1
"56023415WHEIFJJI",1,0,0,0
"29788310DXSYOYWT",1,1,1,1
"93356083VMYGQPLU",0,0,1,0
"78903071PVZGDLII",1,0,1,0
"17485220BIWSASBU",0,0,1,0
"50668705TZKLNLIT",0,0,0,0
"27340018NWSXMYJR",1,0,1,0
"92486801SHVFQQPV",1,1,1,0
"01135326WDKCXMUS",1,0,0,0
"30698933SDFYSZOM",0,0,1,1
"11393624BBORNUGB",0,0,1,0
"68298765KPLKNVIQ",0,0,0,0
"21920834RJIYDZZU",0,0,0,0
"33505806VEVPEFKY",0,0,0,0
"47678843KOIPKWGW",0,1,1,1
"25209946NEOUXTOE",0,0,0,0
"44863600BZCVVSGH",0,0,0,0
"43089388GOVMKVXV",1,0,1,0
"28395087KYYJELGX",1,0,0,1
"48195221MJEYYEQG",1,0,0,0
"10077034FTWAAYLW",1,0,0,0
"88341928WZUQYFUR",0,0,1,0
"43707548MDYFTZMI",0,0,0,0
"81240489LATKPMUD",1,0,1,0
"16137924CXDRZFOP",1,0,0,0
"34422572IRHIKCVG",0,0,1,0
"97906195ALNIJQYA",0,0,0,0
"25932316JQABUQXJ",1,0,0,0
"28779391AEPRXUZX",0,0,0,0
"36196794VBGTHJKW",0,0,0,0
"63514047LXQMCMLE",0,0,0,0
"08748688IPRLNSTI",0,0,1,1
"07327371VVXOASBK",0,0,1,0
"40551699QBCTGYPS",0,0,0,0
"47383194BOIVWYSJ",1,0,0,0
"47356749GIALQGWZ",1,0,0,0
"06123486LYSMVUND",0,0,1,1
"04953785VVQZVFRX",1,0,0,0
"95303459RUNEDOSY",0,0,1,1
"44822036LPRSKAXG",1,0,0,0
"95543805TXRIOKNY",0,0,0,1
"54766599BWORMKNV",0,0,1,0
"29075485NNCEYRQR",0,0,0,0
"12053578EVHTZAMG",1,0,0,0
"80646972KDTKPFRG",1,0,1,1
"40933601TAIRRFJW",1,0,0,0
"76022759DOUNCXEO",1,0,0,1
"19343233SJNXVRRD",0,0,1,0
"11121265VWSUPFBQ",1,0,0,0
"10130438CRUKLBYN",1,0,1,1
"38496920NQTBCSAD",1,0,0,0
"98958045HHMZGKJA",1,0,0,0
"06469145UIYGXNOR",1,0,0,0
"22187789RIOYSTIF",1,0,0,0
"17386645KHEWXXXE",0,0,0,0
"00350379QZZFRSIX",0,0,0,0
"09624469TUGRXIWN",0,0,0,0
"63833961MNCYPZZY",0,0,0,0
"67387429ZDVXXDQA",1,0,1,0
"64442701WWLJENKL",1,0,1,0
"58890806WPIJAHKZ",0,0,0,0
"21002280HIIHXRDL",0,0,0,0
"02989059SJDJDZSK",1,0,1,0
"11906977PUFIPKVM",0,0,1,0
"87779631VEHGRDKP",0,0,0,0
"29952525OVHHYROI",0,0,0,0
"19565728WQGNAHFT",0,0,0,0
"20887694NGJWPKWV",1,0,1,1
"28128457RIRJEXMB",0,0,1,0
"62705459QAMHBRFA",1,0,0,0
"59398996DCOZBLIV",1,0,1,1
"16563525YWLVNSTD",0,0,0,0
"31067815EYBZMGJT",0,0,1,0
"53041861QVXOPELW",1,0,0,0
"02075865YXAPXUIZ",0,0,1,0
"87514463HPJWBBHA",1,0,0,0
"53402402MANZPAXO",1,0,0,0
"97991412BPWTRKPN",1,0,1,0
"13577894ENICLVNS",1,0,0,0
"23517842FPREXHIW",0,0,0,0
"35522843WWHTKCPH",1,0,1,1
"57922107WQQUUQQU",0,0,0,0
"02097717MEMMKLLQ",1,1,1,1
"83938636QGPQNZGH",0,0,1,0
"55884024JAANGURI",0,0,1,0
"79024423VBLYCPQJ",1,0,1,0
"78170757PWURXRYC",0,0,1,1
"20070078BCXWYHPB",0,0,1,1
"93664770RROEKZLD",0,0,1,0
"56976166KGPBHBYH",1,0,0,0
"78534059NVRDOEGA",1,0,0,0
"61224113GVGBMBHR",1,1,0,0
"13661794AUWWMLYS",0,0,1,0
"99429423DUMPLGSZ",1,1,1,0
"04760706MZRMUQGX",1,0,1,0
"46511198NPKFBXDG",0,0,1,0
"17534198QTWYGCHA",0,0,1,0
"13123444ADBSOCFW",0,0,0,0
"16751919LCDDJOAM",1,0,0,0
"63375168YVKQNVJT",1,0,0,0
"97541211SNUKWEJO",1,0,0,0
"79174590XHORQEST",0,0,0,0
"21562326EWCSQJSP",0,0,1,0
"04170501ULVAYYZP",0,0,0,0
"87604851DQEFGDNB",1,0,1,0
"85095484NFKICWJH",1,0,0,0
"15769635OPMOHLMK",1,0,0,0
"58201853TUJXEFVJ",1,0,1,0
"58020775XSPQJAIP",0,0,1,0
"46025659JTCDSIJG",1,0,1,0
"35809555UGUPDPRG",0,0,0,0
"45563243FWITZTMT",0,0,0,0
"35468514LVCHHWHO",1,0,0,0
"01880357GJFDDESJ",1,0,1,0
"80959922SQPPFBLJ",1,1,1,1
"99159884XXNWCDAJ",0,0,0,0
"02129365CGWSALIS",0,0,0,0
